street_name,street_name_int
RIVERVALE ST,390
WOODLANDS DR 62,536
SEMBAWANG DR,401
WOODLANDS DR 53,534
WOODLANDS DR 52,533
RIVERVALE WALK,391
COMPASSVALE LANE,156
RIVERVALE DR,389
SENJA RD,413
JURONG WEST ST 65,275
RIVERVALE CRES,388
WOODLANDS DR 44,531
COMPASSVALE DR,155
WOODLANDS DR 16,528
COMPASSVALE RD,158
WOODLANDS DR 73,540
HOUGANG ST 31,219
JURONG WEST ST 64,274
WOODLANDS DR 71,538
YISHUN ST 20,565
ADMIRALTY DR,0
COMPASSVALE ST,159
BEDOK RESERVOIR VIEW,46
YUNG SHENG RD,582
ADMIRALTY LINK,1
SENGKANG EAST WAY,409
ANG MO KIO ST 32,25
ANG MO KIO ST 52,28
BOON TIONG RD,63
JURONG WEST ST 62,273
ANCHORVALE LINK,10
CANBERRA LINK,105
COMPASSVALE CRES,154
CLEMENTI ST 12,148
MONTREAL DR,336
WELLINGTON CIRCLE,511
SENGKANG EAST RD,408
JURONG WEST AVE 3,262
ANCHORVALE LANE,9
SENJA LINK,412
EDGEFIELD PLAINS,173
ANCHORVALE DR,8
SEGAR RD,396
FARRER PK RD,180
PUNGGOL FIELD,374
EDGEDALE PLAINS,172
ANCHORVALE RD,11
CANTONMENT CL,109
JLN MEMBINA,244
FERNVALE LANE,182
JURONG WEST ST 25,267
CLEMENTI ST 11,147
PUNGGOL FIELD WALK,375
KLANG LANE,301
PUNGGOL CTRL,371
JELEBU RD,230
BUANGKOK CRES,93
WOODLANDS DR 75,541
BT BATOK WEST AVE 5,83
JELLICOE RD,231
PUNGGOL DR,372
JURONG WEST ST 24,266
SEMBAWANG WAY,404
FERNVALE RD,184
BUANGKOK LINK,95
FERNVALE LINK,183
JLN TIGA,252
YUAN CHING RD,576
COMPASSVALE LINK,157
MARINE PARADE CTRL,326
COMPASSVALE BOW,153
PUNGGOL RD,377
BEDOK CTRL,34
PUNGGOL EAST,373
SENGKANG CTRL,406
TAMPINES CTRL 7,456
SENGKANG WEST AVE,410
PUNGGOL PL,376
CANTONMENT RD,110
GHIM MOH LINK,193
SIMEI LANE,427
YISHUN ST 41,569
TELOK BLANGAH ST 31,491
JLN KAYU,240
LOR 1A TOA PAYOH,309
PUNGGOL WALK,378
SENGKANG WEST WAY,411
BUANGKOK GREEN,94
PUNGGOL WAY,379
YISHUN ST 31,568
TECK WHYE CRES,485
MONTREAL LINK,337
UPP SERANGOON CRES,506
SUMANG LINK,445
SENGKANG EAST AVE,407
YISHUN AVE 1,552
ANCHORVALE CRES,7
ANCHORVALE ST,12
TAMPINES CTRL 8,457
YISHUN ST 51,571
UPP SERANGOON VIEW,508
TAMPINES AVE 1,449
BEDOK RESERVOIR CRES,44
ANG MO KIO ST 61,29
DAWSON RD,164
FERNVALE ST,185
HOUGANG ST 32,220
TAMPINES ST 86,479
SUMANG WALK,446
CHOA CHU KANG AVE 7,125
KEAT HONG CL,287
JURONG WEST CTRL 3,265
KEAT HONG LINK,288
ALJUNIED AVE 2,4
CANBERRA CRES,104
SUMANG LANE,444
CANBERRA ST,107
ANG MO KIO ST 44,26
ANG MO KIO ST 51,27
BT BATOK EAST AVE 6,69
BT BATOK WEST AVE 9,87
CANBERRA WALK,108
WOODLANDS RISE,543
TAMPINES ST 61,472
YISHUN ST 43,570
